ticker,name,sector,industry,price,market_cap,enterprise_value,shares_outstanding,revenue_ttm,ebitda_ttm,gross_margin,op_margin,net_income,net_debt,rev_growth_yoy,hist_rev_growth_3yr,earnings_growth,fwd_eps,fwd_pe,peg_ratio,ps_ratio,ev_revenue,ev_ebitda,cash,total_debt
APPF,"AppFolio, Inc.",Technology,Software - Application,165.05,5845574656,5659664384,24087367,1040883008,194698000.0,0.63532,0.18845,157528000,-185909992,0.193,0.26402816609929264,0.182,8.4262,19.587715,7.45,5.615977,5.437,29.069,221684992,35775000
BAND,Bandwidth Inc.,Technology,Software - Infrastructure,59.8,1914635008,2287582976,30059279,788360000,36745000.0,0.38237998,-0.022130001,-5054000,372947992,0.198,0.10035762889857185,,2.256,26.507092,,2.4286304,2.902,62.256,50273000,423220992
BILL,"BILL Holdings, Inc.",Technology,Software - Application,43.51,4333453312,4045962496,99596727,1600322944,33452000.0,0.83681,0.01143,163000,-287491072,0.135,0.3337794835244021,,3.37789,12.880821,0.43,2.7078617,2.528,120.948,2173345024,1885853952
BRZE,"Braze, Inc.",Technology,Software - Application,21.76,2450865152,2146288128,112631669,787121984,-108043000.0,0.6646,-0.1304,-122092000,-306064992,0.302,0.27638164418320854,,0.96895,22.4573,1.13,3.1137044,2.727,-19.865,387520992,81456000
CWAN,"Clearwater Analytics Holdings, Inc.",Technology,Software - Application,24.56,7330872320,8087925760,297375155,825731968,109074000.0,0.65972,0.04064,-48093000,779329992,0.744,,,0.87636,28.025011,1.78,8.878029,9.795,74.151,81507000,860836992
DUOL,"Duolingo, Inc.",Technology,Software - Application,122.24,5695542272,4535805440,40237065,1098813056,177404992.0,0.72665,0.15369001,422390016,-1159736984,0.265,0.4109723752842484,0.236,7.84666,15.578603,,5.1833587,4.128,25.568,1251609984,91873000
ESTC,Elastic N.V.,Technology,Software - Application,58.68,6099881984,5321182720,103951633,1739330944,-28684000.0,0.76155,-0.03518,367766016,-778699008,0.16,0.17618768841723176,,3.87508,15.142913,1.37,3.5070279,3.059,-185.51,1370262016,591563008
FROG,JFrog Ltd.,Technology,Software - Application,80.16,9708957696,8984160256,121119724,563409984,-52097000.0,0.77481,-0.07378,-61583000,-724797032,0.258,0.23842210154395524,,1.12029,71.5529,,17.23249,15.946,-172.451,741244032,16447000
GTLB,GitLab Inc.,Technology,Software - Infrastructure,31.28,5283192320,3971862016,167800000,1004873024,-45195000.0,0.8676,-0.05962,-25053000,-1357511936,0.231,0.31133298051698305,,1.02925,30.391062,,5.257572,3.953,-87.883,1357511936,0
HUBS,"HubSpot, Inc.",Technology,Software - Application,204.89,10488464384,9050242048,51190708,3298124032,87956000.0,0.83655,0.03296,100258000,-1443761024,0.234,0.21873189791837286,,15.62788,13.110543,0.33,3.1801305,2.744,102.895,1691052032,247291008
MNDY,monday.com Ltd.,Technology,Software - Application,77.43,3273285120,2683333120,42274119,1301011968,18773000.0,0.89053,0.05624,119351000,-1034702976,0.245,0.3351448415549521,0.096,5.55734,13.932924,0.28,2.515953,2.062,142.936,1212275968,177572992
NCNO,"nCino, Inc.",Technology,Software - Application,16.56,1814196864,2052182912,109552950,610057984,71569000.0,0.61613,0.13248,13259000,223899000,0.106,0.13391470461214264,1.476,1.49463,11.079665,,2.9738104,3.364,28.674,102813000,326712000
PCTY,Paylocity Holding Corporation,Technology,Software - Application,125.27,6707463680,6542296064,53544058,1727329024,409460000.0,0.69417,0.31253,258044000,-165168000,0.105,0.23634072458395358,0.273,8.68675,14.420813,0.99,3.883142,3.788,15.978,299728000,134560000
PEGA,Pegasystems Inc.,Technology,Software - Application,26.82,4409340416,4119449600,164404945,1736355968,209700992.0,0.75573,0.046040002,324036000,-289891008,0.094,0.09940799541979801,-0.529,2.63584,10.175124,2.99,2.539422,2.372,19.644,361907008,72016000
POWI,"Power Integrations, Inc.",Technology,Semiconductors,63.46,3535990016,3278786304,55719984,446283008,49937000.0,0.53938,0.07408,16603000,-257204000,0.026,-0.10541649438358587,-0.604,1.85312,34.24495,1.51,7.923201,7.347,65.658,257204000,0
PRGS,Progress Software Corporation,Technology,Software - Infrastructure,37.85,1552339840,2776119808,41012942,1003724992,333747008.0,0.8557,0.18547001,89044000,1223780016,0.068,0.17877370073763718,0.282,6.22955,6.07588,1.27,1.5465789,2.766,8.318,102978000,1326758016
PSFE,Paysafe Limited,Technology,Software - Infrastructure,7.95,410826976,2683570176,51252865,1743111040,394785984.0,0.56418,0.02447,-199487008,2276109936,0.104,0.04430802394754559,,2.54186,3.1276307,,0.23568606,1.54,6.798,257210000,2533319936
SPSC,"SPS Commerce, Inc.",Technology,Software - Application,61.16,2245348864,2097695872,36712702,762076992,176772992.0,0.69303,0.12783,90872000,-147653008,0.058,0.1856676021696598,-0.09,5.20917,11.740834,4.55,2.9463544,2.753,11.867,154271008,6618000
TASK,"TaskUs, Inc.",Technology,Information Technology Services,5.52,505511712,901211712,36545511,1212020992,218816000.0,0.39219,0.11527,105459000,395700000,0.103,0.0761002626837487,0.13,1.5206,3.630146,,0.41708165,0.744,4.119,152264992,547964992
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,32.25,3556271104,3617810176,110271973,1022326016,40535000.0,0.78172994,0.042719997,-11769000,61539008,0.096,0.13545159656484226,,2.17161,14.850732,0.99,3.4786077,3.539,89.252,360260992,421800000
TRMK,Trustmark Corporation,Financial Services,Banks - Regional,46.61,2731604736,3166602496,58605547,797726976,,0.0,0.33975,226616992,434998016,0.057,0.1266183051340463,0.08,4.09667,11.377533,2.29,3.424235,3.97,,539036992,974035008
VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,45.74,5372059136,4987859456,114814150,660235008,-131850000.0,0.78110003,-0.25070998,-130395000,-263740000,0.269,0.09646265483777856,,0.38388,119.151825,7.38,8.136586,7.555,-37.83,785908992,522168992
WEX,WEX Inc.,Technology,Software - Infrastructure,176.15,6106793472,5259075584,34668143,2792100096,920800000.0,0.73232,0.26941,350700000,-744400384,0.142,0.042619384165877884,0.571,21.05408,8.3665495,0.98,,1.884,5.711,6101600256,5357199872
XMTR,"Xometry, Inc.",Industrials,Industrial Distribution,86.31,4768269824,4656770048,53770546,740798016,-16224000.0,0.39273,-0.02537,-51932000,115819008,0.359,0.2174695826316113,,1.3668,63.1475,,6.4366665,6.286,-287.03,223971008,339790016
YEXT,"Yext, Inc.",Technology,Software - Infrastructure,5.0,501240576,634062592,100248116,445012992,30751000.0,0.74792,0.11387999,39726000,132822008,-0.014,0.03689020624677323,2.264,0.66,7.5757575,,1.1263504,1.425,20.619,91881000,224703008
